ID;default payment next month;PAY_AMT6;PAY_AMT5;PAY_AMT4;PAY_AMT3;PAY_AMT2;PAY_AMT1;BILL_AMT6;BILL_AMT5;BILL_AMT4;BILL_AMT3;BILL_AMT2;BILL_AMT1;PAY_6;PAY_5;PAY_4;PAY_3;PAY_2;PAY_0;AGE;MARRIAGE;EDUCATION;SEX;LIMIT_BAL
28;0;1012;1000;1500;1000;1300;1300;19617;18931;17878;17163;16138;22541;0;0;0;0;0;0;30;2;3;2;50000
29;0;0;257;30430;2044;3421;3415;257;30430;2040;3416;3415;650;-1;-1;-1;-1;-1;-1;47;1;3;2;50000
30;0;0;1600;1000;1000;1500;1500;11400;18375;17907;17496;16575;15329;0;0;0;0;0;0;26;2;1;1;50000
31;0;0;37292;14307;15339;13281;17270;36923;14307;15339;13266;17265;16646;-1;-1;-1;-1;-1;-1;27;2;1;2;230000
32;1;716;1000;1000;1000;1500;1718;23680;23217;22734;22102;29618;30518;0;0;0;0;0;2;33;2;2;1;50000
33;0;2504;3200;3204;3302;3511;3023;75589;78703;80958;82880;84071;93036;0;0;0;0;0;0;32;2;1;1;100000
34;0;51582;981;71439;7521;22827;4152;8981;71439;7521;22722;4152;10929;-2;-2;-2;-2;-2;-2;54;1;2;2;500000
35;0;768;5293;0;3180;31178;5006;5293;0;3180;31130;5006;13709;-2;-2;-2;-2;-2;-2;58;1;1;1;500000
36;0;0;792;565;396;396;131;-1884;-1488;-923;-527;-131;30265;-1;-2;-2;-2;-1;-1;30;2;1;1;160000
37;0;6737;6400;6400;6300;8060;8026;177413;173901;170410;180422;181328;186503;0;0;0;0;0;0;40;1;2;1;280000
38;0;617;47671;0;2043;1518;1500;18660;-28335;6026;11068;9806;15054;-1;0;0;0;0;0;22;2;2;2;60000
39;1;0;0;0;0;0;780;0;0;0;0;780;0;-2;-2;-2;-1;-1;1;25;2;1;1;50000
40;0;781;9525;8000;9976;0;9075;9477;17976;9976;4641;9075;498;-1;0;-1;2;-1;-1;31;2;1;1;280000
41;0;4000;28000;188840;6000;7000;10000;179224;195969;628699;206895;221296;218668;0;0;0;0;0;0;33;2;1;1;360000
42;0;2500;2800;2500;4042;4500;3000;65970;64718;63699;63949;66999;67521;0;0;0;0;0;0;25;2;1;2;70000
43;0;500;1000;300;1000;2927;1500;4451;3670;3576;6003;3184;1877;0;0;0;0;0;0;22;2;2;1;10000
44;0;3000;4000;4000;3000;3000;3000;69802;67079;64280;62925;61544;59504;0;0;0;0;0;0;37;1;2;2;140000
45;0;0;3000;2000;0;5000;3000;29197;26636;25209;25921;21295;18927;0;0;2;0;0;0;30;2;1;2;40000
46;1;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;-2;29;2;1;1;210000
47;1;0;0;334;16741;0;3000;0;16675;16341;15800;16484;14028;0;0;-1;2;0;0;22;2;1;2;20000
48;1;0;0;0;0;1170;1013;0;0;1170;1170;3034;4463;-2;0;0;-1;0;0;46;2;5;2;150000
49;0;8251;11875;11851;24677;15138;21540;11873;11849;32018;15134;21540;22401;-1;-1;-1;-1;-1;-1;32;2;2;1;380000
50;0;1069;912;928;704;1315;1318;20063;20480;19865;19476;18479;17447;0;0;0;0;0;0;24;2;1;1;20000
51;1;1500;1500;0;2000;3100;0;39362;38659;39423;38355;36171;37042;0;2;2;2;2;1;42;2;3;1;70000
52;0;1000;1500;2000;1500;1606;2000;33258;35762;39619;43824;51163;61559;0;0;0;0;0;0;43;3;3;2;100000
53;0;0;464;3544;11185;7600;7875;464;3544;11185;7600;7867;13465;-2;-2;-2;-2;-2;-2;49;1;2;2;310000
54;0;1622;1790;1762;1762;2010;1300;45319;44420;43510;42758;41742;41402;0;0;0;0;2;1;25;2;1;2;180000
55;0;5000;2000;1500;1049;1718;1600;16540;21042;26518;31434;34993;46224;0;0;0;0;0;2;29;2;1;2;150000
56;0;0;2530;151;0;162;3640;2530;151;0;162;3640;1905;-2;-2;-2;-2;-2;-2;45;1;1;2;500000
57;0;2000;9000;679;7500;1500;8500;8321;-679;7142;8441;15793;16386;-1;-1;-1;0;0;0;34;1;3;2;180000
58;0;3800;4816;4814;5253;7296;8083;129918;132202;168608;172308;173440;175886;0;0;0;0;0;0;34;1;2;2;180000
59;0;0;1200;0;700;0;0;1414;700;1166;782;1098;1587;2;2;2;2;3;-1;34;2;1;2;200000
60;0;23000;12000;12000;30000;15029;17000;364089;356656;360199;404205;398857;400134;0;0;0;0;0;0;29;1;2;2;400000
61;1;2000;2000;1000;1000;1300;1516;15571;13827;14937;18878;23638;22848;0;0;0;0;0;0;28;1;3;2;500000
62;0;0;3000;2000;1000;2095;4025;830;14096;16518;69938;72060;70800;-1;0;0;0;0;0;39;1;2;1;70000
63;1;0;1200;2225;0;2700;0;28264;27667;25865;26591;24300;24987;2;2;2;2;2;2;29;2;1;1;50000
64;1;0;0;0;0;0;1000;0;0;0;0;29166;28718;-2;-2;-2;0;0;0;46;1;2;2;50000
65;0;0;0;2353;0;0;0;0;2353;0;0;0;99;-1;-1;-2;-2;-1;-1;51;1;2;2;130000
66;1;1000;0;300;8222;0;0;7918;8198;8174;144076;148751;152519;2;2;-1;-2;-2;-2;57;1;1;1;200000
67;1;160;200;200;150;0;2300;4326;4196;4062;3978;4193;2097;0;0;0;2;2;2;56;1;2;1;10000
68;0;909;4250;300;2280;1159;300;4250;300;2280;1159;300;300;-1;-1;-1;-1;-1;2;30;2;1;2;210000
69;0;13899;7319;0;20161;0;0;7319;10161;10311;-9850;-9850;-190;-1;2;-1;-2;-2;1;29;2;3;2;130000
70;0;0;1000;500;1000;1200;0;5982;11205;18085;17285;17204;18565;0;0;0;0;0;2;22;2;5;1;20000
71;0;390;390;390;390;390;0;390;390;390;390;0;780;-1;-1;-1;-1;-1;-1;31;2;1;1;80000
72;1;1600;2400;4800;0;2500;2500;63526;62307;58622;60184;59246;58267;2;2;2;2;2;2;29;2;2;1;320000
73;0;1395;3165;17;9102;15;5818;3151;3848;5247;-684;5787;9076;-1;2;-1;-1;-1;-1;32;1;2;2;200000
74;0;0;0;2359;0;3155;0;0;2359;0;3155;0;0;-1;-1;-1;-1;-2;1;37;2;1;2;290000
75;0;2016;25949;80552;4314;23453;5713;25820;80153;4291;23337;5550;3048;-1;-1;-1;-1;-1;-1;32;2;1;1;340000
76;0;0;1500;630;610;0;2850;18543;17332;16976;16642;17216;14619;0;0;0;2;0;0;24;2;2;1;20000
77;0;1000;1000;500;320;1779;1759;10030;9590;9636;36087;37225;42838;0;0;0;0;0;-1;25;2;3;1;50000
78;0;291;291;291;291;291;291;291;291;291;291;291;291;-1;-1;-1;-1;-1;-1;45;1;1;2;300000
79;1;0;1765;3000;560;1400;1686;6411;26446;28004;30326;29612;28387;0;0;0;0;0;0;22;2;2;2;30000
80;1;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;1;44;2;2;2;240000
81;0;3000;1000;960;3000;7566;6400;29889;29271;69923;162702;157784;165254;0;0;0;0;0;0;33;3;3;2;470000
82;0;2963;196;146900;3100;3400;4796;196;180000;33100;30400;27796;23411;-1;0;0;0;0;0;26;2;1;2;360000
83;1;0;1140;768;648;1213;1576;19771;19899;21993;28108;27471;26324;0;0;0;0;0;0;30;2;3;1;60000
84;0;2800;3200;3000;3050;3;10700;94058;104990;104430;126819;139060;131595;0;0;0;2;0;0;44;1;2;2;400000
85;0;826;849;699;700;1302;1676;19482;19342;20414;21489;47863;48909;0;0;0;0;0;0;49;2;3;2;50000
86;0;4500;4800;4500;80000;3547;4400;120418;118407;118418;71934;107808;130028;0;0;0;0;0;0;33;2;2;1;160000
87;1;390;390;390;0;0;1170;390;390;390;780;1170;390;-1;-1;0;2;-1;-1;45;1;1;2;360000
88;0;2303;766;0;2000;2000;1147;766;7072;8604;6604;4751;3826;-1;0;0;0;0;0;32;2;2;2;160000
89;0;2090;1190;7095;1330;5000;40000;1190;7095;1330;17740;117866;81313;-1;-1;-1;0;0;0;35;1;1;2;130000
90;0;1500;0;2000;1000;1651;0;11970;12314;10488;9651;8303;8583;2;0;0;0;2;2;44;2;3;1;20000
91;1;5000;5000;5500;5500;5500;6300;149531;147124;144098;142460;140774;138180;2;2;2;2;2;2;53;1;1;1;200000
92;0;0;0;0;0;3968;0;0;0;3868;3968;0;7524;-2;0;0;-1;-1;-1;39;2;1;2;280000
93;0;0;0;0;0;0;7555;0;0;0;0;5555;-2000;-2;-2;-2;-2;-2;-2;27;2;1;2;100000
94;0;7736;0;0;840;840;1602;0;0;840;840;1602;880;-2;-1;-1;-1;-1;-1;37;1;2;2;160000
95;0;835;816;690;682;1301;1937;19323;19209;19595;47214;46850;45648;0;0;0;0;0;0;23;2;2;2;60000
96;0;1143;1104;1112;1179;3597;3621;30835;30942;35565;87653;85996;83725;0;0;0;0;0;0;35;2;2;1;90000
97;0;68978;0;27000;12902;3394;8339;9956;26370;6451;3394;8322;3967;0;-1;-1;-1;-1;-1;43;1;1;1;360000
98;0;800;1698;4040;3266;10006;4031;40788;87725;89775;89006;86108;86009;0;0;0;0;0;0;27;2;1;1;150000
99;0;197;321;281;379;1194;1411;7899;8866;13150;16997;18160;18722;0;0;0;0;0;0;22;1;3;2;50000
100;1;0;150;1750;626;1460;1699;150;17928;18240;19559;19367;17973;-1;0;0;0;0;0;38;1;2;1;20000
101;0;0;1430;100;415;850;10212;1430;100;415;850;10212;672;-2;-2;-2;-2;-2;-2;32;2;1;1;140000
102;0;5000;1250;1197;1171;33178;223;34056;33564;32891;32475;-303;-81;0;0;0;-1;-2;-2;30;2;1;2;380000
103;0;24200;18000;0;17000;55693;16078;469961;471145;487066;479432;431342;422069;0;2;2;0;0;0;63;1;1;1;480000
104;1;904;995;840;1002;1362;1767;24094;23477;32496;38347;42254;44698;0;0;0;0;0;0;22;2;3;2;50000
105;0;3000;3000;6;2511;5000;0;55305;55447;60218;59175;55208;56685;0;2;2;2;2;2;26;2;2;2;60000
106;0;2000;26529;0;0;0;0;26529;0;0;0;0;5580;-1;-2;-2;-2;-1;-1;24;2;2;2;70000
107;0;1035;1150;1150;3319;3279;2861;1150;1150;3319;3277;2861;6108;-1;-1;-1;-1;-1;-1;36;1;2;2;80000
108;0;5011;5263;1150;867;722;2272;5263;1150;867;722;2272;713;-1;-1;-1;-1;-1;-1;52;2;1;1;350000
109;0;4796;133841;4566;133657;0;10908;126568;44127;120483;39940;178382;171438;-1;-1;-1;0;0;0;38;2;2;1;130000
110;0;0;0;0;0;0;0;-103;-103;-103;-103;-103;-103;-2;-2;-2;-2;-2;1;35;1;2;1;360000
111;0;0;15794;4100;3593;0;9260;107289;106491;105896;105594;108431;105879;0;0;0;2;0;0;31;1;1;2;330000
112;0;1000;1000;1000;1000;1000;2000;17393;16671;15928;15181;14722;13244;0;0;0;2;0;0;47;1;3;1;50000
113;0;5000;0;14850;14254;0;6500;149415;152174;144401;134813;138532;135673;3;2;2;2;2;2;41;1;2;1;280000
114;0;2033;3000;5080;3076;2677;2000;59713;60100;56076;54477;52692;52128;0;0;0;0;0;0;24;2;1;2;100000
115;0;684;724;718;700;1305;1340;19957;20311;20274;20259;19294;19015;0;0;0;0;0;0;41;2;2;1;50000
116;1;1000;1000;0;3000;1312;0;21201;20692;21319;18631;17618;18199;2;3;0;0;2;-1;24;2;1;1;30000
117;0;526;326;476;5676;326;326;326;476;5676;326;326;326;-1;-1;-1;-1;-1;-1;28;2;1;1;240000
118;1;1000;1000;1000;1000;1700;2000;18186;17629;17055;16630;15493;14029;0;0;0;0;0;2;26;2;2;1;80000
119;0;5712;7959;14837;7839;11867;9677;7959;14837;7839;11867;9666;19660;-1;-1;-1;-1;-1;-1;34;1;2;1;400000
120;0;563;1203;1307;3000;3000;2000;1203;1307;52479;53015;51445;50254;-1;-1;0;0;0;0;38;2;2;2;240000
121;1;0;2800;1400;1000;4035;1000;51143;49318;48851;48953;45976;46004;2;2;3;2;2;2;37;2;3;1;50000
122;1;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;1;40;1;1;1;450000
123;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;1;48;1;1;2;110000
124;1;5987;6833;8599;8407;11128;13019;198889;246491;258610;306314;311243;304991;0;0;0;0;0;2;35;1;2;2;310000
125;0;0;313;861;600;1130;1404;15630;19717;19378;19298;18962;19115;0;0;0;0;0;0;27;2;1;1;20000
126;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;1;23;2;2;1;20000
127;0;3784;3669;3848;3602;3585;3568;104993;103146;100914;98951;99530;110151;0;0;0;0;0;0;52;2;3;1;200000
128;1;1000;2217;2142;2067;2690;4655;95927;97753;95766;99278;116422;163736;0;0;0;0;0;0;36;1;1;1;180000
129;1;134;1200;1500;1300;1066;1000;7077;6375;5347;4503;3899;3347;0;0;0;0;0;0;51;1;2;1;50000
130;0;1500;1100;1200;1200;7;2504;26547;29510;28853;57244;61450;60521;0;0;0;2;2;3;55;1;3;1;60000
131;0;3024;5911;13771;27;3508;5645;5906;13744;-27;3508;5645;4000;-1;-1;-2;-2;-2;1;23;2;1;2;30000
132;0;924;1737;360;0;3301;2622;1737;360;3164;3301;2622;95;-1;0;0;-1;-1;1;41;2;1;1;240000
133;0;11326;7253;7830;7603;9553;9744;188108;210606;220951;229049;247743;253454;0;0;0;0;0;0;34;1;2;1;420000
134;0;8200;8391;8175;8025;8095;8210;228203;227775;227587;229644;228719;227389;0;0;0;0;0;0;46;1;3;1;330000
135;0;1560;0;500;0;1400;2000;-780;17603;25350;26712;26145;28452;0;0;0;0;0;0;22;2;2;2;30000
136;0;327;0;1000;0;1800;1500;13891;14158;13269;13681;12035;10674;2;2;2;0;0;0;34;1;2;1;240000
137;0;5000;3500;3000;3000;3000;2500;30229;27200;24614;22000;19342;17444;0;0;0;0;0;0;27;2;1;1;150000
138;0;546;2000;500;1000;1500;1500;5708;4404;9189;8792;7997;7166;0;0;0;0;0;0;33;1;2;2;210000
139;1;0;0;0;0;5880;300;0;0;0;5880;300;752;-2;-2;-1;-1;-1;-1;51;1;3;2;50000
140;0;2130;870;900;1000;1700;2360;18995;19375;19430;49586;50143;50801;0;0;0;0;0;0;24;2;1;1;50000
141;1;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;-2;-2;-2;1;47;2;1;1;240000
142;0;832;3500;500;332;416;0;416;416;332;832;0;1832;-1;-1;-1;-1;-1;-1;28;2;2;1;180000
143;0;600;800;700;400;10000;1000;18065;19879;19996;20583;10833;10131;0;0;2;2;2;1;23;2;2;1;50000
144;0;10000;15863;9983;10000;10000;10000;15846;9983;10000;10000;10000;12159;-2;-2;-2;-2;-2;-2;29;2;2;1;170000
145;0;330;339;4702;2340;344;15586;339;6702;2340;344;15586;1199;-1;0;-1;-1;-1;-1;29;2;1;1;20000
146;0;0;1100;1583;2000;1500;1000;10138;10624;9195;7315;5913;4999;3;0;0;0;0;0;28;2;1;1;50000
147;1;0;182;358;351;1200;1661;9100;17918;17560;20852;20313;19269;0;0;0;0;0;0;27;2;2;2;170000
148;0;8500;5000;5000;55500;5000;8000;59875;132233;135668;93069;176192;197236;0;0;0;0;2;1;34;2;1;1;200000
149;0;1;2091;379;0;0;1650;12034;10123;9898;10205;10522;9168;0;0;2;3;2;1;23;1;2;2;80000
150;0;0;1000;969;0;22500;0;869;969;0;21400;-1100;-1100;-1;-1;-1;-1;-2;1;60;1;1;2;260000
151;0;2602;2100;0;5000;3110;3455;55251;58319;64648;68336;78142;86627;0;2;0;0;0;0;32;1;2;1;140000
152;0;14000;2000;8000;6000;3000;30000;31826;41951;41087;43476;55744;42444;0;0;0;0;0;0;25;2;1;1;80000
153;0;0;0;0;630;1000;2906;0;0;630;1000;2906;208;-2;-1;-1;-1;-1;1;41;2;1;1;350000
154;0;6321;7000;100000;5137;6700;8042;169311;177145;101783;132257;182350;208775;0;0;0;0;0;0;56;1;2;2;280000
155;0;1500;1500;1500;1000;1500;1700;14206;13084;11935;11427;10406;9014;0;0;0;0;0;0;26;2;3;2;30000
156;0;5504;3000;5000;11885;5000;5000;48699;47086;43129;32073;28049;23944;0;0;0;0;0;0;34;1;1;1;140000
157;0;5000;3560;3500;3250;3250;4000;94031;92505;90938;89643;102870;105420;0;0;0;0;0;0;37;2;1;2;200000
158;0;4500;5000;6200;7680;7108;7300;122324;146975;167163;189524;196143;196031;0;0;0;0;0;0;30;2;3;2;200000
159;1;10478;11678;11078;11078;10478;10478;154105;145533;137277;129847;122904;115785;6;5;4;4;3;2;45;1;3;1;210000
160;0;600;600;500;500;1600;0;14083;13711;13427;13447;12362;12854;0;0;0;0;2;3;57;1;3;1;50000
161;0;1250;1200;0;2200;0;3500;28321;27579;28168;26718;27453;24357;0;2;2;2;2;2;41;2;1;1;30000
162;0;390;0;864;216;780;390;540;1080;216;780;390;390;2;-1;-1;-1;-1;2;27;2;2;1;50000
163;0;369;423;0;792;396;396;423;396;792;396;396;1234;-1;0;-1;-1;-1;-1;47;1;3;1;290000
164;0;3920;6811;5656;5469;0;17994;160220;155997;152803;151841;156858;141223;0;0;0;2;0;0;34;1;1;2;250000
165;0;1500;1500;1000;1500;1500;3000;27756;26655;26034;24908;23803;21148;0;0;0;0;0;0;46;1;2;2;60000
166;0;2800;3000;2900;3000;3900;5500;77254;76058;74737;104855;104795;101640;0;0;0;0;0;0;27;2;1;2;110000
167;0;4699;13453;4792;15413;8204;15383;13453;4792;15398;8204;15130;6093;-2;-2;-2;-2;-2;-2;50;2;1;1;370000
168;0;50000;12;1398;1330;0;3166;-246;22979;29336;58824;96847;102349;0;0;0;2;2;-1;27;1;2;1;100000
169;0;0;4000;10000;3652;3500;3500;88290;85852;77317;75526;73854;72112;2;0;0;0;0;0;35;1;2;2;90000
170;0;567;1277;1017;982;1442;1510;28806;28318;27737;29366;29092;28040;0;0;0;0;0;0;22;2;2;2;50000
171;0;2000;3000;4000;3000;2000;5000;24641;26344;27598;30534;33397;37695;0;0;0;0;0;0;37;2;2;1;270000
172;0;746;800;2672;4340;0;3288;800;2672;4340;0;3280;688;-1;-1;-1;-1;-1;-1;30;2;1;2;300000
173;0;10000;5000;0;149;1000;15000;7725;3115;7457;11650;15273;8567;0;0;0;0;0;-1;22;2;2;2;50000
174;1;0;0;0;0;0;0;-3272;-3272;-2898;-709;-709;-709;-2;-2;-2;-2;-2;1;24;2;1;2;50000
175;0;0;0;0;0;77;0;0;0;0;77;0;0;-2;-2;-1;-1;-2;1;29;2;1;1;360000
176;1;0;0;5500;3000;3000;3000;71345;72796;68557;67282;65978;64617;3;2;2;2;2;1;56;1;3;1;130000
177;0;0;3500;500;1000;500;504;5380;1919;1438;600;100;6187;0;0;0;0;-1;-2;30;2;1;1;80000
178;0;2000;0;2000;1000;1500;0;22361;22877;30221;48363;47801;48860;2;0;0;0;2;1;30;2;2;1;50000
179;0;1000;1500;1500;500;1201;1212;14906;14034;13130;13221;12622;16001;0;0;0;0;0;0;22;2;2;2;20000
180;0;0;1000;400;600;1000;5800;11486;10662;61467;80250;81811;77883;0;0;0;2;0;0;29;1;2;2;80000
181;0;65935;1256;0;2000;0;15000;1256;26279;26605;25331;26578;12212;-1;0;0;2;-1;-1;37;2;1;1;240000
182;0;2000;3000;2000;3000;6500;12500;17460;17770;17364;14873;12412;49608;0;0;0;0;-1;0;35;2;3;2;80000
183;0;20000;52183;20000;30000;30357;70010;70064;108834;122967;110340;110616;56422;0;0;0;0;0;0;47;1;1;2;500000
184;1;2000;737;1000;3000;1600;2500;19395;19323;18971;48839;57891;58024;0;0;0;0;0;0;24;1;2;2;60000
185;0;0;1824;135;601;1593;1200;1620;1615;12280;13070;11677;10642;-1;0;0;0;0;0;25;2;2;1;20000
186;1;1500;1000;0;1500;1600;0;16448;15868;16268;15323;13961;14483;0;2;0;0;2;1;38;1;2;2;100000
187;0;38313;16250;13889;68454;5295;57087;16240;13881;68445;5287;57077;2616;-1;-1;-1;-1;-1;1;32;2;1;2;360000
188;1;6836;0;7134;6800;7000;8214;189915;200162;196186;193936;202947;199436;2;2;2;2;2;2;47;2;3;2;200000
189;0;2000;1000;501;3500;5000;5396;14636;13864;13576;10270;5396;0;0;0;0;0;-1;1;34;1;2;2;130000
190;0;0;760;0;0;1000;0;20487;20219;20835;21461;21087;21703;2;3;4;4;5;1;31;2;2;2;20000
191;0;4223;5060;5028;10057;6031;10020;43328;60387;65875;62102;62147;59901;0;0;0;0;0;0;32;2;1;1;310000
192;1;846;900;0;2000;1664;1342;22873;22499;23005;21669;20347;19625;0;2;0;0;0;2;27;2;1;2;60000
193;0;5114;341;17227;0;0;199;17042;17227;0;0;199;11386;0;-1;-2;-1;-1;-1;29;2;1;2;180000
194;0;0;0;0;200;0;37867;0;0;10200;21282;22087;14670;-2;0;0;2;-1;-1;24;2;1;2;180000
195;0;20011;1000;500;2000;1000;2000;658;72;-14;18250;18114;47790;-1;-1;0;0;0;0;36;1;2;1;50000
196;1;0;1600;1532;1700;1400;1900;40035;39228;38462;37680;37188;36166;2;2;2;2;2;1;24;2;1;2;50000
197;0;0;1500;0;116;0;0;1500;0;116;0;0;0;-2;-2;-2;-2;-2;-2;34;1;2;2;150000
198;0;1000;693;20000;541;1032;1500;19247;18868;8332;19065;19446;18553;0;-1;0;0;0;0;22;2;1;2;20000
199;0;15816;1151;1206;1251;2299;138;1151;1206;1251;2299;138;412;-1;-1;-1;-2;-2;-2;34;1;1;2;500000
200;1;0;0;104;1714;85;1000;0;1630;29836;28122;29256;29010;0;0;0;2;2;1;22;2;3;2;30000
201;0;0;0;0;0;0;0;0;0;0;0;0;750;-2;-2;-2;-2;-2;-2;38;1;1;2;180000
202;0;2500;0;7800;3000;0;25000;10833;27407;20225;17985;27299;27123;2;0;0;2;0;0;31;2;1;1;140000
203;0;7004;487;13506;5841;13001;10000;487;13506;5818;13001;18000;13424;-1;-1;-1;-1;0;-1;26;2;1;2;140000
204;0;5000;5000;5000;4152;5000;5000;122135;119131;116000;113736;110578;107314;0;0;0;0;0;0;26;2;2;1;120000
205;0;4100;5600;5600;5800;7300;9100;146511;173557;190211;234192;231878;226430;0;0;0;0;0;0;48;1;2;2;360000
206;0;1700;3457;1459;1258;1305;22359;19337;19450;19339;20237;20351;227;0;0;0;0;-1;-1;43;1;3;1;20000
207;0;2380;0;390;390;390;1473;0;390;390;390;1473;390;-1;-1;-1;-1;-1;-1;47;1;1;1;100000
208;1;419;0;877;3763;343;1586;0;877;3763;343;1586;3088;-1;-1;-1;-1;-1;-1;41;1;2;2;210000
209;1;1800;1800;2000;2038;3000;3200;49568;49509;49552;79599;81554;81625;0;0;0;0;0;0;24;2;2;2;80000
210;0;258;1709;0;1702;2854;4345;1709;0;1690;2854;4337;8872;-2;-2;-1;-1;-1;-1;50;1;1;2;330000
211;0;0;85632;0;8303;5050;5000;85632;0;8303;111520;108917;105607;-1;-1;-1;0;0;0;24;2;1;1;220000
212;1;9616;1222;789;0;250;0;1222;789;123;250;0;0;-1;-1;0;-1;-2;1;38;1;1;2;210000
213;0;1000;1500;1500;1200;1504;1700;31339;33138;36207;38103;38901;38257;0;0;0;0;0;0;43;1;3;2;40000
214;0;148;2000;1000;0;2309;3036;8032;7736;12992;18388;28108;28347;0;0;2;0;0;0;39;2;2;1;30000
215;0;10367;10838;10484;0;11001;13000;309959;305145;479978;307843;303320;296573;0;0;2;2;2;2;27;2;2;1;470000
216;0;0;0;1470;240;390;390;780;1320;240;390;390;390;2;-1;-1;-1;-1;-1;42;1;3;1;30000
217;1;0;0;0;0;0;0;-946;-946;-946;-946;-946;-946;-2;-2;-2;-2;-2;1;36;1;2;2;240000
218;0;3000;3500;3000;3400;3500;3100;78245;76235;80016;78534;78501;79278;0;0;0;0;0;2;36;2;2;1;80000
219;0;8954;3000;3000;3000;5000;4000;63208;63818;73315;79288;84229;89989;0;0;0;0;0;0;31;0;3;2;110000
220;0;0;0;0;0;126;4542;0;0;0;126;4542;1424;-2;-2;-1;-1;-1;-1;38;2;1;2;310000
